RRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRR
    6618       1       0
ILL TAS data in the new ASCII format follow after the line VV...V
AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
      42       0
TASP      epfl        05-Oct-2017 19:01:40
VVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVV
INSTR: TASP
EXPNO: 
USER_: epfl
LOCAL: tucker
FILE_: 6618
DATE_: 05-Oct-2017 19:01:40
TITLE: Pb (2 0.9 0) E scan
COMND: sc qh 2 0.9 0 5 dqh 0 0 0 0.5 np 21 mn 3000
POSQE: QH=  2.0001, QK=  0.8999, QL=  0.0000, EN=  0.0002, UN=MEV
STEPS: DQH=  0.0000, DQK=  0.0000, DQL=  0.0000, DEN=  0.5000, 
PARAM: DM=  3.3540, DA=  3.3540, SM=-1, SS= 1, SA=-1
PARAM: FX=  2, KFIX=  1.9700
PARAM: ALF1=800.0000, ALF2= 80.0000, ALF3=800.0000, ALF4=800.0000
PARAM: BET1=400.0000, BET2=400.0000, BET3=400.0000, BET4=400.0000
PARAM: ETAM= 15.0000, ETAA= 30.0000
PARAM: AS=  4.9465, BS=  4.9465, CS=  4.9465
PARAM: AA= 90.0000, BB= 90.0000, CC= 90.0000
PARAM: AX=  1.0000, AY=  0.0000, AZ=  0.0000
PARAM: BX=  0.0000, BY=  1.0000, BZ=  0.0000
PARAM: ProposalID=20171830
VARIA: A1      =-28.3871, A2      =-56.7782, A3      =-69.2280, 
VARIA: A4      = 89.9920, A5      =-28.3930, A6      =-56.7789, 
VARIA: MCV     = 20.6830, SRO     =  4.8970, ACH     =  2.1500, 
VARIA: MTL     = -0.0190, MTU     = -0.5050, STL     =  0.0000, 
VARIA: STU     =  0.0000, STL     =  0.0000, ATU     = -0.4960, 
VARIA: MGL     =  0.1020, SGL     = -1.4140, SGU     =  7.1250, 
VARIA: AGL     =  0.0000, ATL     =  0.0000, TT      =  0.0000, 
VARIA: MF      =  0.0000, TEM     =  0.0000, STICK   =  0.0000, 
ZEROS: A1      = -0.0241, A2      =  0.2338, A3      =  1.5070, 
ZEROS: A4      =  0.0800, A5      =-87.8100, A6      =  0.0731, 
ZEROS: MCV     = -0.1000, SRO     = -0.0000, ACH     = -0.0000, 
ZEROS: MTL     = -0.0000, MTU     = -1.9300, STL     = -0.0000, 
ZEROS: STU     = -0.0000, STL     = -0.0000, ATU     =  0.5000, 
ZEROS: MGL     =  0.1870, SGL     = -0.0000, SGU     = -0.0000, 
ZEROS: AGL     = -0.0000, ATL     = -0.0000, 
PARAM: MN=3000.000000
PARAM: TEM=  0.0000, RT=  0.0000
FORMT: (I4,1X,F9.4,1X,F9.4,1X,F9.4,1X,F9.4,1X,F8.0,1X,F8.0,1X,F9.2,1X,F8.0,1X,F8.0,1X,F9.0,1X,F9.4)
DATA_:
 PNT     QH        QK        QL        EN          M1       M2      TIME     CNTS       M3        M4     A4    
   1    2.0001    0.8999    0.0000    0.0002     3000    18464     27.79       75       26   1906361  89.9920 
   2    2.0000    0.9000    0.0000    0.4998     3000    20555     21.28       16       28   2124246  88.2650 
   3    2.0000    0.8999    0.0000    1.0002     3000    21205     22.15       11       21   2218842  86.6300 
   4    2.0000    0.8998    0.0000    1.4997     3000    25461     26.23        9       26   2629017  85.0800 
   5    2.0001    0.8998    0.0000    2.0002     3000    26575     27.36       14       28   2743064  83.6050 
   6    2.0001    0.9000    0.0000    2.4999     3000    27480     28.75       20       25   2881730  82.1950 
   7    2.0000    0.8998    0.0000    2.9997     3000    28184     29.35       26       34   2942655  80.8300 
   8    2.0000    0.9000    0.0000    3.5003     3000    28179     29.52       33       31   2959480  79.5270 
   9    2.0000    0.9000    0.0000    4.0000     3000    30479     34.99       74       32   3165664  78.2650 
  10    2.0001    0.9000    0.0000    4.5004     3000    36524     37.87       69       22   3784599  77.0470 
  11    2.0000    0.9001    0.0000    5.0005     3000    39388     40.85       24       27   4094813  75.8650 
  12    2.0000    0.9001    0.0000    5.5004     3000    35079     36.54       12       30   3663931  74.7150 
  13    2.0001    0.9000    0.0000    6.0007     3000    37015     38.62        4       35   3872110  73.5970 
  14    2.0000    0.9000    0.0000    6.5005     3000    38346     39.79       11       22   3989332  72.5020 
  15    2.0000    0.9001    0.0000    7.0004     3000    44682     46.24       16       23   4635350  71.4370 
  16    2.0000    0.9000    0.0000    7.4995     3000    51518     53.82       11       29   5392466  70.3950 
  17    2.0001    0.9000    0.0000    8.0007     3000    51457     53.55        7       33   5364845  69.3720 
  18    2.0000    0.9002    0.0000    8.5005     3000    53292     55.63        7       27   5572025  68.3720 
  19    2.0000    0.8999    0.0000    9.0000     3000    54304     59.87        6       35   5646363  67.3850 
  20    2.0000    0.8999    0.0000    9.5001     3000    53726     55.96        8       34   5603543  66.4200 
  21    2.0001    0.9002    0.0000    9.9998     3000    55297     57.33        8       24   5744686  65.4750 
