RRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRR
    6649       1       0
ILL TAS data in the new ASCII format follow after the line VV...V
AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
      42       0
TASP      epfl        06-Oct-2017 05:44:33
VVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVV
INSTR: TASP
EXPNO: 
USER_: epfl
LOCAL: tucker
FILE_: 6649
DATE_: 06-Oct-2017 05:44:33
TITLE: Pb (1.75 0 0) E scan
COMND: sc qh 1.75 0 0 5.25 dqh 0 0 0 0.5 np 20 mn 3000
POSQE: QH=  1.7501, QK=  0.0002, QL=  0.0000, EN=  0.2500, UN=MEV
STEPS: DQH=  0.0000, DQK=  0.0000, DQL=  0.0000, DEN=  0.5000, 
PARAM: DM=  3.3540, DA=  3.3540, SM=-1, SS= 1, SA=-1
PARAM: FX=  2, KFIX=  1.9700
PARAM: ALF1=800.0000, ALF2= 80.0000, ALF3=800.0000, ALF4=800.0000
PARAM: BET1=400.0000, BET2=400.0000, BET3=400.0000, BET4=400.0000
PARAM: ETAM= 15.0000, ETAA= 30.0000
PARAM: AS=  4.9465, BS=  4.9465, CS=  4.9465
PARAM: AA= 90.0000, BB= 90.0000, CC= 90.0000
PARAM: AX=  1.0000, AY=  0.0000, AZ=  0.0000
PARAM: BX=  0.0000, BY=  1.0000, BZ=  0.0000
PARAM: ProposalID=20171830
VARIA: A1      =-27.9181, A2      =-55.8402, A3      =-55.3130, 
VARIA: A4      = 68.0920, A5      =-28.3930, A6      =-56.7789, 
VARIA: MCV     = 20.9500, SRO     =  4.8970, ACH     =  2.1500, 
VARIA: MTL     = -0.0190, MTU     = -0.5050, STL     =  0.0000, 
VARIA: STU     =  0.0000, STL     =  0.0000, ATU     = -0.4960, 
VARIA: MGL     =  0.1020, SGL     = -1.4140, SGU     =  7.1250, 
VARIA: AGL     =  0.0000, ATL     =  0.0000, TT      =  0.0000, 
VARIA: MF      =  0.0000, TEM     =  0.0000, STICK   =  0.0000, 
ZEROS: A1      = -0.0241, A2      =  0.2338, A3      =  1.5070, 
ZEROS: A4      =  0.0800, A5      =-87.8100, A6      =  0.0731, 
ZEROS: MCV     = -0.1000, SRO     = -0.0000, ACH     = -0.0000, 
ZEROS: MTL     = -0.0000, MTU     = -1.9300, STL     = -0.0000, 
ZEROS: STU     = -0.0000, STL     = -0.0000, ATU     =  0.5000, 
ZEROS: MGL     =  0.1870, SGL     = -0.0000, SGU     = -0.0000, 
ZEROS: AGL     = -0.0000, ATL     = -0.0000, 
PARAM: MN=3000.000000
PARAM: TEM=  0.0000, RT=  0.0000
FORMT: (I4,1X,F9.4,1X,F9.4,1X,F9.4,1X,F9.4,1X,F8.0,1X,F8.0,1X,F9.2,1X,F8.0,1X,F8.0,1X,F9.0,1X,F9.4)
DATA_:
 PNT     QH        QK        QL        EN          M1       M2      TIME     CNTS       M3        M4     A4    
   1    1.7501    0.0002    0.0000    0.2500     3000    19370     20.23       26       76   2014343  68.0920 
   2    1.7502    0.0001    0.0000    0.7499     3000    21056     22.04       17      115   2195673  66.9220 
   3    1.7500   -0.0000    0.0000    1.2498     3000    23668     24.67       18      109   2458467  65.7670 
   4    1.7501   -0.0000    0.0000    1.7500     3000    25186     26.56       58       60   2647656  64.6650 
   5    1.7501   -0.0000    0.0000    2.2500     3000    26769     30.85       61       51   2795186  63.5870 
   6    1.7500   -0.0001    0.0000    2.7500     3000    28381     29.77       33       85   2929746  62.5270 
   7    1.7501    0.0001    0.0000    3.2503     3000    28287     29.57       46       96   2944388  61.4920 
   8    1.7501   -0.0001    0.0000    3.7505     3000    30498     32.03       57       71   3189632  60.4850 
   9    1.7499   -0.0002    0.0000    4.2497     3000    31874     33.79       45       53   3365774  59.4870 
  10    1.7500   -0.0000    0.0000    4.7504     3000    41009     43.05       50       44   4288234  58.5150 
  11    1.7499   -0.0002    0.0000    5.2497     3000    35808     37.46       16       32   3731228  57.5500 
  12    1.7499   -0.0002    0.0000    5.7507     3000    37249     38.80       14       30   3865073  56.5970 
  13    1.7499    0.0000    0.0000    6.2508     3000    36611     39.00        6       24   3883559  55.6570 
  14    1.7500   -0.0001    0.0000    6.7503     3000    40632     42.74        9       35   4257223  54.7320 
  15    1.7500   -0.0002    0.0000    7.2501     3000    48919     51.53        6       22   5133817  53.8120 
  16    1.7500   -0.0000    0.0000    7.7501     3000    51754     55.76        6       23   5370572  52.9000 
  17    1.7500    0.0002    0.0000    8.2504     3000    52500     55.31        3       30   5422028  51.9970 
  18    1.7500   -0.0002    0.0000    8.7507     3000    52649     55.54        1       22   5533235  51.0970 
  19    1.7500   -0.0001    0.0000    9.2499     3000    54251     57.33        3       18   5710584  50.2050 
  20    1.7500    0.0001    0.0000    9.7504     3000    54020     56.99        8       18   5677362  49.3150 
