RRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRR
    6654       1       0
ILL TAS data in the new ASCII format follow after the line VV...V
AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
      42       0
TASP      epfl        06-Oct-2017 07:03:59
VVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVV
INSTR: TASP
EXPNO: 
USER_: epfl
LOCAL: tucker
FILE_: 6654
DATE_: 06-Oct-2017 07:03:59
TITLE: Pb (1.50 0 0) E scan
COMND: sc qh 1.50 0 0 5.25 dqh 0 0 0 0.5 np 20 mn 3000
POSQE: QH=  1.5000, QK= -0.0000, QL=  0.0000, EN=  0.2500, UN=MEV
STEPS: DQH=  0.0000, DQK=  0.0000, DQL=  0.0000, DEN=  0.5000, 
PARAM: DM=  3.3540, DA=  3.3540, SM=-1, SS= 1, SA=-1
PARAM: FX=  2, KFIX=  1.9700
PARAM: ALF1=800.0000, ALF2= 80.0000, ALF3=800.0000, ALF4=800.0000
PARAM: BET1=400.0000, BET2=400.0000, BET3=400.0000, BET4=400.0000
PARAM: ETAM= 15.0000, ETAA= 30.0000
PARAM: AS=  4.9465, BS=  4.9465, CS=  4.9465
PARAM: AA= 90.0000, BB= 90.0000, CC= 90.0000
PARAM: AX=  1.0000, AY=  0.0000, AZ=  0.0000
PARAM: BX=  0.0000, BY=  1.0000, BZ=  0.0000
PARAM: ProposalID=20171830
VARIA: A1      =-27.9181, A2      =-55.8402, A3      =-60.5230, 
VARIA: A4      = 57.3500, A5      =-28.3930, A6      =-56.7789, 
VARIA: MCV     = 20.9500, SRO     =  4.8970, ACH     =  2.1500, 
VARIA: MTL     = -0.0190, MTU     = -0.5050, STL     =  0.0000, 
VARIA: STU     =  0.0000, STL     =  0.0000, ATU     = -0.4960, 
VARIA: MGL     =  0.1020, SGL     = -1.4140, SGU     =  7.1250, 
VARIA: AGL     =  0.0000, ATL     =  0.0000, TT      =  0.0000, 
VARIA: MF      =  0.0000, TEM     =  0.0000, STICK   =  0.0000, 
ZEROS: A1      = -0.0241, A2      =  0.2338, A3      =  1.5070, 
ZEROS: A4      =  0.0800, A5      =-87.8100, A6      =  0.0731, 
ZEROS: MCV     = -0.1000, SRO     = -0.0000, ACH     = -0.0000, 
ZEROS: MTL     = -0.0000, MTU     = -1.9300, STL     = -0.0000, 
ZEROS: STU     = -0.0000, STL     = -0.0000, ATU     =  0.5000, 
ZEROS: MGL     =  0.1870, SGL     = -0.0000, SGU     = -0.0000, 
ZEROS: AGL     = -0.0000, ATL     = -0.0000, 
PARAM: MN=3000.000000
PARAM: TEM=  0.0000, RT=  0.0000
FORMT: (I4,1X,F9.4,1X,F9.4,1X,F9.4,1X,F9.4,1X,F8.0,1X,F8.0,1X,F9.2,1X,F8.0,1X,F8.0,1X,F9.0,1X,F9.4)
DATA_:
 PNT     QH        QK        QL        EN          M1       M2      TIME     CNTS       M3        M4     A4    
   1    1.5000   -0.0000    0.0000    0.2500     3000    19355     20.41       20       20   2033483  57.3520 
   2    1.5000    0.0001    0.0000    0.7499     3000    21542     22.42        8       29   2234808  56.3820 
   3    1.5001    0.0000    0.0000    1.2498     3000    22116     23.39        8       20   2331708  55.4270 
   4    1.4999   -0.0000    0.0000    1.7500     3000    25402     26.50        5       24   2642401  54.4750 
   5    1.5000    0.0001    0.0000    2.2500     3000    27169     28.77        9       29   2866919  53.5470 
   6    1.5000   -0.0000    0.0000    2.7500     3000    27528     28.85       17       43   2875115  52.6200 
   7    1.5001   -0.0000    0.0000    3.2503     3000    28394     30.08       22       28   2997544  51.7020 
   8    1.5001   -0.0000    0.0000    3.7505     3000    30516     31.79       16       25   3169817  50.7870 
   9    1.5001    0.0001    0.0000    4.2497     3000    31625     33.24        9       17   3312833  49.8870 
  10    1.5000   -0.0001    0.0000    4.7504     3000    40808     42.83        5       13   4267465  48.9870 
  11    1.5000   -0.0001    0.0000    5.2503     3000    36322     38.42        3       16   3829521  48.0920 
  12    1.4999   -0.0002    0.0000    5.7507     3000    35437     37.26        2       12   3712153  47.1950 
  13    1.5000   -0.0000    0.0000    6.2508     3000    36569     41.53        7       21   3836099  46.3070 
  14    1.5000   -0.0001    0.0000    6.7503     3000    41055     43.07       14       16   4290907  45.4170 
  15    1.5000   -0.0000    0.0000    7.2501     3000    49291     51.86       15       16   5168372  44.5270 
  16    1.5000   -0.0001    0.0000    7.7501     3000    55265     57.90       22       17   5768993  43.6370 
  17    1.5000    0.0001    0.0000    8.2504     3000    53096     55.45        6       22   5525750  42.7450 
  18    1.5001   -0.0000    0.0000    8.7507     3000    54796     57.52        5       15   5733506  41.8520 
  19    1.5000   -0.0001    0.0000    9.2499     3000    54175     57.01        2       15   5682039  40.9550 
  20    1.5001   -0.0001    0.0000    9.7504     3000    53137     55.37        5       19   5519120  40.0550 
