RRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRR
    6641       1       0
ILL TAS data in the new ASCII format follow after the line VV...V
AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
      42       0
TASP      epfl        06-Oct-2017 03:33:35
VVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVV
INSTR: TASP
EXPNO: 
USER_: epfl
LOCAL: tucker
FILE_: 6641
DATE_: 06-Oct-2017 03:33:35
TITLE: Pb (1.4 0 0) E scan
COMND: sc qh 1.4 0 0 5 dqh 0 0 0 0.5 np 21 mn 3000
POSQE: QH=  1.4000, QK= -0.0000, QL=  0.0000, EN=  0.0002, UN=MEV
STEPS: DQH=  0.0000, DQK=  0.0000, DQL=  0.0000, DEN=  0.5000, 
PARAM: DM=  3.3540, DA=  3.3540, SM=-1, SS= 1, SA=-1
PARAM: FX=  2, KFIX=  1.9700
PARAM: ALF1=800.0000, ALF2= 80.0000, ALF3=800.0000, ALF4=800.0000
PARAM: BET1=400.0000, BET2=400.0000, BET3=400.0000, BET4=400.0000
PARAM: ETAM= 15.0000, ETAA= 30.0000
PARAM: AS=  4.9465, BS=  4.9465, CS=  4.9465
PARAM: AA= 90.0000, BB= 90.0000, CC= 90.0000
PARAM: AX=  1.0000, AY=  0.0000, AZ=  0.0000
PARAM: BX=  0.0000, BY=  1.0000, BZ=  0.0000
PARAM: ProposalID=20171830
VARIA: A1      =-28.3871, A2      =-56.7782, A3      =-63.1680, 
VARIA: A4      = 53.6620, A5      =-28.3930, A6      =-56.7789, 
VARIA: MCV     = 20.6830, SRO     =  4.8970, ACH     =  2.1500, 
VARIA: MTL     = -0.0190, MTU     = -0.5050, STL     =  0.0000, 
VARIA: STU     =  0.0000, STL     =  0.0000, ATU     = -0.4960, 
VARIA: MGL     =  0.1020, SGL     = -1.4140, SGU     =  7.1250, 
VARIA: AGL     =  0.0000, ATL     =  0.0000, TT      =  0.0000, 
VARIA: MF      =  0.0000, TEM     =  0.0000, STICK   =  0.0000, 
ZEROS: A1      = -0.0241, A2      =  0.2338, A3      =  1.5070, 
ZEROS: A4      =  0.0800, A5      =-87.8100, A6      =  0.0731, 
ZEROS: MCV     = -0.1000, SRO     = -0.0000, ACH     = -0.0000, 
ZEROS: MTL     = -0.0000, MTU     = -1.9300, STL     = -0.0000, 
ZEROS: STU     = -0.0000, STL     = -0.0000, ATU     =  0.5000, 
ZEROS: MGL     =  0.1870, SGL     = -0.0000, SGU     = -0.0000, 
ZEROS: AGL     = -0.0000, ATL     = -0.0000, 
PARAM: MN=3000.000000
PARAM: TEM=  0.0000, RT=  0.0000
FORMT: (I4,1X,F9.4,1X,F9.4,1X,F9.4,1X,F9.4,1X,F8.0,1X,F8.0,1X,F9.2,1X,F8.0,1X,F8.0,1X,F9.0,1X,F9.4)
DATA_:
 PNT     QH        QK        QL        EN          M1       M2      TIME     CNTS       M3        M4     A4    
   1    1.4000   -0.0000    0.0000    0.0002     3000    18685     19.80       43       11   1972917  53.6600 
   2    1.4001   -0.0000    0.0000    0.4998     3000    20416     21.22        4       18   2113339  52.7600 
   3    1.4000    0.0000    0.0000    1.0002     3000    21135     22.43        3       19   2233974  51.8670 
   4    1.4000    0.0001    0.0000    1.4997     3000    25332     26.71        6       19   2659048  50.9770 
   5    1.4000    0.0001    0.0000    2.0002     3000    25609     26.98        5       17   2686643  50.0900 
   6    1.4000   -0.0001    0.0000    2.4999     3000    26854     28.27        8       22   2814100  49.2070 
   7    1.4000   -0.0000    0.0000    2.9997     3000    27125     35.28       18       30   2822981  48.3220 
   8    1.4000    0.0001    0.0000    3.5003     3000    29225     37.06       12       30   3011511  47.4420 
   9    1.4001   -0.0000    0.0000    4.0000     3000    31044     42.25        4       12   3208611  46.5620 
  10    1.4002    0.0002    0.0000    4.5004     3000    36344     38.15        6       11   3792578  45.6970 
  11    1.3997   -0.0001    0.0000    4.9999     3000    38462     43.94        7       15   4033498  44.8000 
  12    1.4000   -0.0000    0.0000    5.5004     3000    35849     37.71        1       16   3746574  43.9320 
  13    1.4000   -0.0001    0.0000    6.0007     3000    37317     39.16        4       13   3899195  43.0470 
  14    1.4001   -0.0001    0.0000    6.5005     3000    39643     41.47        9       16   4129433  42.1670 
  15    1.3999   -0.0000    0.0000    7.0004     3000    44646     46.85        6       20   4665613  41.2750 
  16    1.4000   -0.0001    0.0000    7.4995     3000    52662     55.13       13       22   5490588  40.3850 
  17    1.4001   -0.0000    0.0000    7.9999     3000    52979     55.34       20       17   5509601  39.4900 
  18    1.4000   -0.0000    0.0000    8.5005     3000    54307     56.78       20       19   5653709  38.5870 
  19    1.4001   -0.0001    0.0000    9.0000     3000    54502     57.08       10       13   5685727  37.6800 
  20    1.3999   -0.0001    0.0000    9.5001     3000    53830     59.87        6       12   5636441  36.7570 
  21    1.4000   -0.0000    0.0000    9.9998     3000    54554     57.15        5       11   5673793  35.8320 
