RRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRR
    6660       1       0
ILL TAS data in the new ASCII format follow after the line VV...V
AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
      42       0
TASP      epfl        06-Oct-2017 08:38:16
VVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVV
INSTR: TASP
EXPNO: 
USER_: epfl
LOCAL: tucker
FILE_: 6660
DATE_: 06-Oct-2017 08:38:16
TITLE: Pb (1.20 0 0) E scan
COMND: sc qh 1.20 0 0 5.25 dqh 0 0 0 0.5 np 20 mn 3000
POSQE: QH=  1.2000, QK= -0.0001, QL=  0.0000, EN=  0.2500, UN=MEV
STEPS: DQH=  0.0000, DQK=  0.0000, DQL=  0.0000, DEN=  0.5000, 
PARAM: DM=  3.3540, DA=  3.3540, SM=-1, SS= 1, SA=-1
PARAM: FX=  2, KFIX=  1.9700
PARAM: ALF1=800.0000, ALF2= 80.0000, ALF3=800.0000, ALF4=800.0000
PARAM: BET1=400.0000, BET2=400.0000, BET3=400.0000, BET4=400.0000
PARAM: ETAM= 15.0000, ETAA= 30.0000
PARAM: AS=  4.9465, BS=  4.9465, CS=  4.9465
PARAM: AA= 90.0000, BB= 90.0000, CC= 90.0000
PARAM: AX=  1.0000, AY=  0.0000, AZ=  0.0000
PARAM: BX=  0.0000, BY=  1.0000, BZ=  0.0000
PARAM: ProposalID=20171830
VARIA: A1      =-27.9181, A2      =-55.8402, A3      =-66.3680, 
VARIA: A4      = 45.1450, A5      =-28.3930, A6      =-56.7789, 
VARIA: MCV     = 20.9500, SRO     =  4.8970, ACH     =  2.1500, 
VARIA: MTL     = -0.0190, MTU     = -0.5050, STL     =  0.0000, 
VARIA: STU     =  0.0000, STL     =  0.0000, ATU     = -0.4960, 
VARIA: MGL     =  0.1020, SGL     = -1.4140, SGU     =  7.1250, 
VARIA: AGL     =  0.0000, ATL     =  0.0000, TT      =  0.0000, 
VARIA: MF      =  0.0000, TEM     =  0.0000, STICK   =  0.0000, 
ZEROS: A1      = -0.0241, A2      =  0.2338, A3      =  1.5070, 
ZEROS: A4      =  0.0800, A5      =-87.8100, A6      =  0.0731, 
ZEROS: MCV     = -0.1000, SRO     = -0.0000, ACH     = -0.0000, 
ZEROS: MTL     = -0.0000, MTU     = -1.9300, STL     = -0.0000, 
ZEROS: STU     = -0.0000, STL     = -0.0000, ATU     =  0.5000, 
ZEROS: MGL     =  0.1870, SGL     = -0.0000, SGU     = -0.0000, 
ZEROS: AGL     = -0.0000, ATL     = -0.0000, 
PARAM: MN=3000.000000
PARAM: TEM=  0.0000, RT=  0.0000
FORMT: (I4,1X,F9.4,1X,F9.4,1X,F9.4,1X,F9.4,1X,F8.0,1X,F8.0,1X,F9.2,1X,F8.0,1X,F8.0,1X,F9.0,1X,F9.4)
DATA_:
 PNT     QH        QK        QL        EN          M1       M2      TIME     CNTS       M3        M4     A4    
   1    1.2000   -0.0001    0.0000    0.2500     3000    18958     19.93       19       13   1986362  45.1450 
   2    1.2002    0.0000    0.0000    0.7499     3000    21671     22.66        4       14   2259525  44.3800 
   3    1.2001    0.0001    0.0000    1.2498     3000    23183     24.19        3       11   2410209  43.6000 
   4    1.2001    0.0000    0.0000    1.7500     3000    25633     27.09        4       10   2699196  42.8150 
   5    1.2002   -0.0000    0.0000    2.2500     3000    26703     28.26        8       23   2816779  42.0100 
   6    1.2000    0.0002    0.0000    2.7500     3000    27555     29.10        8       29   2898442  41.1950 
   7    1.2000   -0.0000    0.0000    3.2503     3000    28607     30.08        8       19   2997148  40.3720 
   8    1.2001    0.0001    0.0000    3.7505     3000    29113     30.77        3       18   3065508  39.5370 
   9    1.2001   -0.0001    0.0000    4.2497     3000    30926     32.34        8        9   3220611  38.6970 
  10    1.2000    0.0000    0.0000    4.7504     3000    41725     46.84        5       17   4355845  37.8400 
  11    1.1998   -0.0000    0.0000    5.2503     3000    36003     37.74        4       11   3736112  36.9700 
  12    1.1999   -0.0001    0.0000    5.7507     3000    35129     37.22        5       10   3706588  36.0920 
  13    1.2000    0.0001    0.0000    6.2508     3000    37862     39.88        5       14   3973268  35.2050 
  14    1.1999   -0.0001    0.0000    6.7503     3000    41845     44.10        4       15   4395138  34.2970 
  15    1.2000   -0.0000    0.0000    7.2501     3000    50666     52.81        6       13   5264467  33.3850 
  16    1.2000   -0.0000    0.0000    7.7501     3000    52472     54.85        7       16   5470315  32.4470 
  17    1.2001   -0.0000    0.0000    8.2504     3000    55083     57.33        7       12   5717364  31.4970 
  18    1.2001   -0.0001    0.0000    8.7507     3000    52857     55.71       15       15   5556810  30.5300 
  19    1.1999   -0.0001    0.0000    9.2499     3000    55320     57.88       12       23   5771137  29.5350 
  20    1.1999    0.0000    0.0000    9.7495     3000    56722     62.31        7       16   5908714  28.5200 
