RRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRR
    6639       1       0
ILL TAS data in the new ASCII format follow after the line VV...V
AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
      42       0
TASP      epfl        06-Oct-2017 03:00:44
VVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVV
INSTR: TASP
EXPNO: 
USER_: epfl
LOCAL: tucker
FILE_: 6639
DATE_: 06-Oct-2017 03:00:44
TITLE: Pb (1.2 0 0) E scan
COMND: sc qh 1.2 0 0 5 dqh 0 0 0 0.5 np 21 mn 3000
POSQE: QH=  1.1998, QK= -0.0001, QL=  0.0000, EN=  0.0002, UN=MEV
STEPS: DQH=  0.0000, DQK=  0.0000, DQL=  0.0000, DEN=  0.5000, 
PARAM: DM=  3.3540, DA=  3.3540, SM=-1, SS= 1, SA=-1
PARAM: FX=  2, KFIX=  1.9700
PARAM: ALF1=800.0000, ALF2= 80.0000, ALF3=800.0000, ALF4=800.0000
PARAM: BET1=400.0000, BET2=400.0000, BET3=400.0000, BET4=400.0000
PARAM: ETAM= 15.0000, ETAA= 30.0000
PARAM: AS=  4.9465, BS=  4.9465, CS=  4.9465
PARAM: AA= 90.0000, BB= 90.0000, CC= 90.0000
PARAM: AX=  1.0000, AY=  0.0000, AZ=  0.0000
PARAM: BX=  0.0000, BY=  1.0000, BZ=  0.0000
PARAM: ProposalID=20171830
VARIA: A1      =-28.3871, A2      =-56.7782, A3      =-67.2380, 
VARIA: A4      = 45.5120, A5      =-28.3930, A6      =-56.7789, 
VARIA: MCV     = 20.6830, SRO     =  4.8970, ACH     =  2.1500, 
VARIA: MTL     = -0.0190, MTU     = -0.5050, STL     =  0.0000, 
VARIA: STU     =  0.0000, STL     =  0.0000, ATU     = -0.4960, 
VARIA: MGL     =  0.1020, SGL     = -1.4140, SGU     =  7.1250, 
VARIA: AGL     =  0.0000, ATL     =  0.0000, TT      =  0.0000, 
VARIA: MF      =  0.0000, TEM     =  0.0000, STICK   =  0.0000, 
ZEROS: A1      = -0.0241, A2      =  0.2338, A3      =  1.5070, 
ZEROS: A4      =  0.0800, A5      =-87.8100, A6      =  0.0731, 
ZEROS: MCV     = -0.1000, SRO     = -0.0000, ACH     = -0.0000, 
ZEROS: MTL     = -0.0000, MTU     = -1.9300, STL     = -0.0000, 
ZEROS: STU     = -0.0000, STL     = -0.0000, ATU     =  0.5000, 
ZEROS: MGL     =  0.1870, SGL     = -0.0000, SGU     = -0.0000, 
ZEROS: AGL     = -0.0000, ATL     = -0.0000, 
PARAM: MN=3000.000000
PARAM: TEM=  0.0000, RT=  0.0000
FORMT: (I4,1X,F9.4,1X,F9.4,1X,F9.4,1X,F9.4,1X,F8.0,1X,F8.0,1X,F9.2,1X,F8.0,1X,F8.0,1X,F9.0,1X,F9.4)
DATA_:
 PNT     QH        QK        QL        EN          M1       M2      TIME     CNTS       M3        M4     A4    
   1    1.1998   -0.0001    0.0000    0.0002     3000    19000     19.93       53       19   1987595  45.5100 
   2    1.2002   -0.0000    0.0000    0.5001     3000    20790     21.70        6       11   2162567  44.7650 
   3    1.2002    0.0001    0.0000    1.0002     3000    21342     22.19        3       15   2212411  43.9920 
   4    1.2000    0.0001    0.0000    1.4997     3000    24583     26.00        3       13   2593188  43.2100 
   5    1.2000   -0.0000    0.0000    2.0002     3000    26025     27.19        4       14   2710166  42.4150 
   6    1.2000    0.0001    0.0000    2.4999     3000    26774     28.25        8       26   2815526  41.6050 
   7    1.2001   -0.0001    0.0000    2.9997     3000    27474     29.24        7       27   2913914  40.7850 
   8    1.2002    0.0002    0.0000    3.5003     3000    29742     31.20        4       11   3108639  39.9620 
   9    1.2000   -0.0001    0.0000    4.0000     3000    29866     31.13        4       10   3101438  39.1200 
  10    1.2003    0.0001    0.0000    4.5004     3000    35988     38.03       12       16   3790981  38.2770 
  11    1.1998   -0.0001    0.0000    4.9999     3000    39514     44.32        2       14   4092330  37.4020 
  12    1.2000    0.0001    0.0000    5.5004     3000    35468     37.34        4       18   3704991  36.5350 
  13    1.2000   -0.0001    0.0000    6.0007     3000    36742     38.77        3       15   3863044  35.6520 
  14    1.2000   -0.0000    0.0000    6.5005     3000    38315     40.37        6       22   4022057  34.7550 
  15    1.2000    0.0000    0.0000    7.0004     3000    42303     44.35        8       11   4418547  33.8450 
  16    1.1999   -0.0001    0.0000    7.4995     3000    52855     55.71        8       14   5552698  32.9170 
  17    1.2000   -0.0000    0.0000    7.9999     3000    53081     55.85        4       13   5567730  31.9750 
  18    1.2000   -0.0002    0.0000    8.5005     3000    55034     57.77        6       11   5761360  31.0150 
  19    1.2000    0.0000    0.0000    9.0000     3000    52500     55.25        5       13   5507972  30.0350 
  20    1.2000   -0.0001    0.0000    9.5001     3000    54474     59.50       14       17   5680328  29.0320 
  21    1.2000   -0.0000    0.0000    9.9998     3000    54965     58.20        7       12   5749462  28.0050 
