RRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRRR
    6635       1       0
ILL TAS data in the new ASCII format follow after the line VV...V
AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA
      42       0
TASP      epfl        05-Oct-2017 23:48:32
VVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVVV
INSTR: TASP
EXPNO: 
USER_: epfl
LOCAL: tucker
FILE_: 6635
DATE_: 05-Oct-2017 23:48:32
TITLE: Pb (1.8 0 0) E scan
COMND: sc qh 1.8 0 0 5 dqh 0 0 0 0.5 np 21 mn 3000
POSQE: QH=  1.8001, QK=  0.0004, QL=  0.0000, EN=  0.0002, UN=MEV
STEPS: DQH=  0.0000, DQK=  0.0000, DQL=  0.0000, DEN=  0.5000, 
PARAM: DM=  3.3540, DA=  3.3540, SM=-1, SS= 1, SA=-1
PARAM: FX=  2, KFIX=  1.9700
PARAM: ALF1=800.0000, ALF2= 80.0000, ALF3=800.0000, ALF4=800.0000
PARAM: BET1=400.0000, BET2=400.0000, BET3=400.0000, BET4=400.0000
PARAM: ETAM= 15.0000, ETAA= 30.0000
PARAM: AS=  4.9465, BS=  4.9465, CS=  4.9465
PARAM: AA= 90.0000, BB= 90.0000, CC= 90.0000
PARAM: AX=  1.0000, AY=  0.0000, AZ=  0.0000
PARAM: BX=  0.0000, BY=  1.0000, BZ=  0.0000
PARAM: ProposalID=20171830
VARIA: A1      =-28.3871, A2      =-56.7782, A3      =-54.5380, 
VARIA: A4      = 70.9470, A5      =-28.3930, A6      =-56.7789, 
VARIA: MCV     = 20.6830, SRO     =  4.8970, ACH     =  2.1500, 
VARIA: MTL     = -0.0190, MTU     = -0.5050, STL     =  0.0000, 
VARIA: STU     =  0.0000, STL     =  0.0000, ATU     = -0.4960, 
VARIA: MGL     =  0.1020, SGL     = -1.4140, SGU     =  7.1250, 
VARIA: AGL     =  0.0000, ATL     =  0.0000, TT      =  0.0000, 
VARIA: MF      =  0.0000, TEM     =  0.0000, STICK   =  0.0000, 
ZEROS: A1      = -0.0241, A2      =  0.2338, A3      =  1.5070, 
ZEROS: A4      =  0.0800, A5      =-87.8100, A6      =  0.0731, 
ZEROS: MCV     = -0.1000, SRO     = -0.0000, ACH     = -0.0000, 
ZEROS: MTL     = -0.0000, MTU     = -1.9300, STL     = -0.0000, 
ZEROS: STU     = -0.0000, STL     = -0.0000, ATU     =  0.5000, 
ZEROS: MGL     =  0.1870, SGL     = -0.0000, SGU     = -0.0000, 
ZEROS: AGL     = -0.0000, ATL     = -0.0000, 
PARAM: MN=3000.000000
PARAM: TEM=  0.0000, RT=  0.0000
FORMT: (I4,1X,F9.4,1X,F9.4,1X,F9.4,1X,F9.4,1X,F8.0,1X,F8.0,1X,F9.2,1X,F8.0,1X,F8.0,1X,F9.0,1X,F9.4)
DATA_:
 PNT     QH        QK        QL        EN          M1       M2      TIME     CNTS       M3        M4     A4    
   1    1.8001    0.0004    0.0000    0.0002     3000    19118     20.05       51       89   2001403  70.9470 
   2    1.8001    0.0001    0.0000    0.5001     3000    20102     20.92       28      136   2088270  69.7000 
   3    1.8000   -0.0000    0.0000    1.0002     3000    21756     22.78       76      125   2273769  68.4900 
   4    1.8002   -0.0000    0.0000    1.4997     3000    25899     27.19      156       81   2712989  67.3370 
   5    1.8001    0.0001    0.0000    2.0002     3000    25883     27.49       65       80   2744156  66.2070 
   6    1.8000   -0.0000    0.0000    2.4999     3000    27313     28.77       14       96   2870134  65.1070 
   7    1.8000   -0.0002    0.0000    3.0002     3000    27862     39.67       64       95   2870537  64.0270 
   8    1.8000    0.0001    0.0000    3.5003     3000    29667     31.56       81      100   3081130  62.9850 
   9    1.8000   -0.0002    0.0000    4.0000     3000    30943     32.22       53       49   3211085  61.9620 
  10    1.8000   -0.0000    0.0000    4.5004     3000    35402     37.06       29       48   3693116  60.9550 
  11    1.7999   -0.0001    0.0000    4.9999     3000    39013     41.03       15       28   4090891  59.9650 
  12    1.8000   -0.0003    0.0000    5.5004     3000    35008     36.65        5       35   3654537  58.9950 
  13    1.8000    0.0000    0.0000    6.0007     3000    36527     38.10        9       30   3798636  58.0320 
  14    1.8000   -0.0000    0.0000    6.5005     3000    38321     39.88        2       32   3977036  57.0870 
  15    1.7999   -0.0002    0.0000    7.0004     3000    44302     46.21        7       24   4607064  56.1500 
  16    1.8000    0.0000    0.0000    7.4995     3000    50849     53.41        5       31   5325597  55.2300 
  17    1.8000    0.0000    0.0000    8.0007     3000    51527     54.14        4       25   5398655  54.3120 
  18    1.8000   -0.0002    0.0000    8.4997     3000    55837     61.07        4       25   5783500  53.4050 
  19    1.8000    0.0001    0.0000    9.0009     3000    53694     56.18        7       22   5602490  52.5050 
  20    1.8000   -0.0001    0.0000    9.5001     3000    53695     56.38        3       22   5623943  51.6100 
  21    1.7999   -0.0002    0.0000    9.9998     3000    53342     56.38        0       15   5623903  50.7200 
